Rank,Fighter,Current_Rating,Peak_Rating,RD,Volatility,Fights,Wins,Losses,Draws,Weight_Class,Last_Fight
1,Islam Makhachev,1979.0,1979.0,90.1,0.06,18,17,1,0,Welterweight,"November 15, 2025"
2,Ilia Topuria,1966.9,1966.9,110.1,0.06,9,9,0,0,Lightweight,"June 28, 2025"
3,Khamzat Chimaev,1962.9,1962.9,117.2,0.06,9,9,0,0,Middleweight,"August 16, 2025"
4,Shavkat Rakhmonov,1942.5,1942.5,118.6,0.06,7,7,0,0,Welterweight,"December 07, 2024"
5,Daniel Cormier,1934.5,1999.1,93.1,0.06,15,11,3,1,Heavyweight,"August 15, 2020"
6,Dricus Du Plessis,1925.6,1957.0,103.6,0.06,10,9,1,0,Middleweight,"August 16, 2025"
7,Alex Pereira,1912.5,1920.3,100.7,0.06,12,10,2,0,Heavyweight,"October 04, 2025"
8,Amanda Nunes,1899.3,1920.0,93.9,0.06,18,16,2,0,Women's Bantamweight,"June 10, 2023"
9,Khabib Nurmagomedov,1898.0,1898.0,110.1,0.06,13,13,0,0,Lightweight,"October 24, 2020"
10,Justin Gaethje,1889.8,1897.5,95.1,0.06,15,10,5,0,Lightweight,"January 24, 2026"
11,Merab Dvalishvili,1889.3,1914.9,88.7,0.06,17,14,3,0,Bantamweight,"December 06, 2025"
12,Demetrious Johnson,1889.0,1916.5,91.3,0.06,18,15,2,1,Flyweight,"August 04, 2018"
13,Alexander Volkanovski,1886.5,1952.9,95.7,0.06,18,15,3,0,Featherweight,"January 31, 2026"
14,Max Holloway,1885.7,1906.8,75.1,0.06,32,23,9,0,Lightweight,"March 07, 2026"
15,Michael Morales,1885.3,1885.3,116.8,0.06,7,7,0,0,Welterweight,"November 15, 2025"
16,Valentina Shevchenko,1884.3,1884.3,87.9,0.06,19,15,3,1,Women's Flyweight,"November 15, 2025"
17,Ian Machado Garry,1879.9,1879.9,103.2,0.06,11,10,1,0,Welterweight,"November 22, 2025"
18,Petr Yan,1876.6,1880.6,89.0,0.06,16,12,4,0,Bantamweight,"December 06, 2025"
19,Movsar Evloev,1873.8,1903.5,113.2,0.06,10,10,0,0,Featherweight,"March 21, 2026"
20,Umar Nurmagomedov,1870.8,1870.8,112.7,0.06,9,8,1,0,Bantamweight,"January 24, 2026"
21,Aljamain Sterling,1869.4,1901.2,87.5,0.06,22,17,4,1,Other,"August 23, 2025"
22,Charles Oliveira,1866.8,1866.8,70.1,0.06,37,25,11,1,Lightweight,"March 07, 2026"
